[15:02:40] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[15:02:42] [ServerMain/INFO]: Loaded 7 recipes
[15:02:43] [ServerMain/INFO]: Loaded 1179 advancements
[15:02:43] [Server thread/INFO]: Starting minecraft server version 1.19.4
[15:02:43] [Server thread/INFO]: Loading properties
[15:02:43] [Server thread/INFO]: Default game type: SURVIVAL
[15:02:43] [Server thread/INFO]: Generating keypair
[15:02:43] [Server thread/INFO]: Starting Minecraft server on *:25565
[15:02:44] [Server thread/INFO]: Using default channel type
[15:02:44] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[15:02:44] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[15:02:44] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[15:02:44] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[15:02:44] [Server thread/INFO]: Preparing level "world"
[15:02:49] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[15:02:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:02:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:02:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:02:51] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[15:02:51] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[15:02:52] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[15:02:52] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[15:02:53] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[15:02:53] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[15:02:54] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[15:02:54] [Worker-Main-5/INFO]: Preparing spawn area: 2%
[15:02:55] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[15:02:55] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[15:02:56] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[15:02:56] [Worker-Main-6/INFO]: Preparing spawn area: 7%
[15:02:57] [Worker-Main-1/INFO]: Preparing spawn area: 8%
[15:02:57] [Worker-Main-6/INFO]: Preparing spawn area: 9%
[15:02:58] [Worker-Main-4/INFO]: Preparing spawn area: 10%
[15:02:58] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[15:02:59] [Worker-Main-6/INFO]: Preparing spawn area: 12%
[15:02:59] [Worker-Main-6/INFO]: Preparing spawn area: 14%
[15:03:00] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[15:03:00] [Worker-Main-1/INFO]: Preparing spawn area: 17%
[15:03:01] [Worker-Main-1/INFO]: Preparing spawn area: 18%
[15:03:01] [Worker-Main-4/INFO]: Preparing spawn area: 20%
[15:03:02] [Worker-Main-4/INFO]: Preparing spawn area: 22%
[15:03:02] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[15:03:03] [Worker-Main-1/INFO]: Preparing spawn area: 26%
[15:03:03] [Worker-Main-7/INFO]: Preparing spawn area: 27%
[15:03:04] [Worker-Main-3/INFO]: Preparing spawn area: 29%
[15:03:04] [Worker-Main-5/INFO]: Preparing spawn area: 31%
[15:03:05] [Worker-Main-4/INFO]: Preparing spawn area: 34%
[15:03:05] [Worker-Main-5/INFO]: Preparing spawn area: 36%
[15:03:06] [Worker-Main-2/INFO]: Preparing spawn area: 38%
[15:03:06] [Worker-Main-5/INFO]: Preparing spawn area: 40%
[15:03:07] [Worker-Main-1/INFO]: Preparing spawn area: 42%
[15:03:07] [Worker-Main-5/INFO]: Preparing spawn area: 43%
[15:03:08] [Worker-Main-7/INFO]: Preparing spawn area: 46%
[15:03:08] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[15:03:09] [Worker-Main-5/INFO]: Preparing spawn area: 49%
[15:03:09] [Worker-Main-3/INFO]: Preparing spawn area: 51%
[15:03:10] [Worker-Main-5/INFO]: Preparing spawn area: 53%
[15:03:10] [Worker-Main-1/INFO]: Preparing spawn area: 55%
[15:03:11] [Worker-Main-6/INFO]: Preparing spawn area: 57%
[15:03:11] [Worker-Main-1/INFO]: Preparing spawn area: 58%
[15:03:12] [Worker-Main-3/INFO]: Preparing spawn area: 60%
[15:03:12] [Worker-Main-5/INFO]: Preparing spawn area: 62%
[15:03:13] [Worker-Main-5/INFO]: Preparing spawn area: 64%
[15:03:13] [Worker-Main-2/INFO]: Preparing spawn area: 66%
[15:03:14] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[15:03:14] [Worker-Main-1/INFO]: Preparing spawn area: 69%
[15:03:15] [Worker-Main-6/INFO]: Preparing spawn area: 71%
[15:03:15] [Worker-Main-3/INFO]: Preparing spawn area: 72%
[15:03:16] [Worker-Main-4/INFO]: Preparing spawn area: 75%
[15:03:16] [Worker-Main-2/INFO]: Preparing spawn area: 78%
[15:03:17] [Worker-Main-3/INFO]: Preparing spawn area: 81%
[15:03:17] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[15:03:18] [Worker-Main-4/INFO]: Preparing spawn area: 85%
[15:03:18] [Worker-Main-5/INFO]: Preparing spawn area: 88%
[15:03:19] [Worker-Main-6/INFO]: Preparing spawn area: 91%
[15:03:19] [Worker-Main-2/INFO]: Preparing spawn area: 93%
[15:03:20] [Worker-Main-1/INFO]: Preparing spawn area: 96%
[15:03:20] [Worker-Main-2/INFO]: Preparing spawn area: 98%
[15:03:21] [Server thread/INFO]: Time elapsed: 31237 ms
[15:03:21] [Server thread/INFO]: Done (36.802s)! For help, type "help"
[15:03:44] [Server thread/INFO]: Stopping server
